Skill Lists:

"skills": "['12', '3', '16', '5', '4', '17', '15', '14', '11', '9', '1', '10', '13', '19', '6', '7', '8', '2', '18']"


"skills": "['17', '5', '16', '3', '13', '1', '14', '7', '11', '2', '12', '9', '19', '10', '18', '4', '15', '6', '8']"


"skills": "['4', '8', '18', '10', '7', '15', '13', '14', '11', '16', '12', '3', '17', '9', '1', '19', '6', '2', '5']"


"skills": "['19', '2', '15', '1', '17', '3', '16', '5', '11', '7', '18', '10', '12', '4', '14', '8', '6', '9', '13']"


"skills": "['7', '18', '13', '16', '3', '14', '19', '17', '9', '5', '10', '1', '11', '2', '6', '4', '8', '15', '12']"


"skills": "['7', '10', '17', '5', '19', '3', '11', '13', '12', '9', '6', '16', '2', '8', '15', '14', '4', '1', '18']"


"skills": "['9', '15', '14', '11', '19', '13', '17', '4', '10', '6', '2', '8', '7', '18', '12', '3', '16', '5', '1']"


"skills": "['10', '9', '3', '13', '7', '16', '8', '1', '19', '14', '6', '12', '2', '4', '15', '5', '17', '11', '18']"


"skills": "['12', '4', '11', '7', '5', '10', '2', '17', '3', '16', '13', '19', '18', '14', '8', '1', '15', '9', '6']"


"skills": "['18', '14', '8', '1', '16', '17', '3', '5', '11', '9', '7', '2', '15', '19', '13', '4', '6', '12', '10']"


"skills": "['18', '12', '10', '6', '14', '9', '15', '3', '2', '16', '1', '17', '4', '19', '13', '8', '7', '11', '5']"


"skills": "['17', '16', '12', '9', '8', '1', '7', '11', '4', '14', '5', '10', '19', '2', '3', '13', '15', '6', '18']"


"skills": "['16', '2', '10', '7', '6', '12', '15', '1', '17', '5', '13', '11', '8', '3', '14', '19', '4', '9', '18']"


"skills": "['7', '12', '8', '9', '1', '2', '10', '5', '6', '14', '19', '17', '3', '11', '15', '4', '13', '16', '18']"


"skills": "['5', '7', '1', '4', '6', '18', '9', '19', '16', '10', '15', '13', '3', '8', '12', '14', '11', '17', '2']"


"skills": "['8', '14', '11', '3', '2', '15', '1', '7', '19', '17', '10', '5', '18', '12', '6', '13', '9', '4', '16']"


"skills": "['14', '2', '16', '6', '3', '18', '7', '9', '5', '15', '13', '10', '4', '12', '17', '19', '8', '11', '1']"


"skills": "['3', '6', '2', '15', '7', '4', '10', '5', '14', '11', '13', '12', '1', '8', '9', '17', '18', '19', '16']"


"skills": "['14', '2', '4', '11', '9', '3', '1', '18', '7', '15', '6', '5', '13', '12', '19', '17', '10', '16', '8']"


"skills": "['7', '2', '11', '13', '10', '19', '4', '17', '9', '14', '3', '1', '6', '12', '8', '16', '18', '15', '5']"



Culture Lists:

"culture": "['14', '20', '8', '9', '18', '13', '1', '21', '19', '12', '16', '11', '5', '4', '2', '3', '6', '15', '17', '10', '7']"


"culture": "['15', '7', '13', '6', '18', '2', '21', '1', '11', '16', '12', '17', '20', '10', '5', '4', '19', '3', '8', '9', '14']"


"culture": "['20', '4', '6', '12', '5', '1', '3', '11', '9', '18', '17', '7', '2', '19', '13', '21', '10', '14', '15', '16', '8']"


"culture": "['17', '12', '9', '14', '3', '1', '19', '6', '20', '2', '10', '16', '7', '21', '8', '18', '4', '15', '13', '5', '11']"


"culture": "['18', '2', '13', '1', '21', '6', '17', '12', '11', '4', '20', '14', '19', '10', '16', '3', '8', '9', '7', '5', '15']"


"culture": "['16', '20', '13', '14', '4', '17', '1', '3', '12', '10', '21', '19', '7', '11', '9', '6', '15', '2', '18', '5', '8']"


"culture": "['19', '14', '7', '15', '9', '21', '12', '5', '8', '18', '6', '3', '16', '13', '4', '1', '10', '20', '11', '17', '2']"


"culture": "['15', '4', '7', '14', '18', '20', '12', '6', '8', '1', '2', '19', '3', '17', '16', '11', '21', '5', '13', '9', '10']"


"culture": "['7', '21', '16', '2', '8', '5', '10', '12', '17', '11', '3', '14', '15', '4', '18', '20', '6', '13', '19', '1', '9']"


"culture": "['1', '20', '15', '4', '13', '9', '21', '18', '19', '16', '5', '6', '11', '7', '17', '12', '3', '14', '2', '8', '10']"


"culture": "['1', '17', '4', '12', '7', '8', '20', '18', '19', '5', '21', '14', '6', '15', '13', '3', '2', '9', '10', '16', '11']"


"culture": "['18', '10', '17', '8', '13', '9', '5', '1', '3', '16', '20', '15', '11', '21', '14', '12', '6', '4', '19', '7', '2']"


"culture": "['14', '5', '13', '1', '7', '18', '6', '19', '10', '21', '2', '4', '3', '15', '17', '11', '20', '9', '12', '8', '16']"


"culture": "['11', '17', '2', '12', '7', '10', '6', '21', '19', '8', '9', '18', '14', '20', '15', '5', '4', '1', '3', '16', '13']"


"culture": "['16', '17', '8', '18', '19', '6', '15', '20', '10', '9', '7', '13', '21', '11', '14', '5', '3', '4', '1', '12', '2']"


"culture": "['1', '12', '19', '13', '2', '18', '5', '6', '21', '8', '11', '17', '15', '20', '9', '16', '4', '14', '3', '10', '7']"


"culture": "['16', '2', '8', '10', '13', '5', '1', '6', '17', '9', '20', '12', '15', '7', '4', '21', '18', '3', '11', '14', '19']"


"culture": "['7', '19', '4', '8', '1', '14', '18', '5', '11', '9', '3', '20', '13', '10', '17', '2', '15', '21', '12', '16', '6']"


"culture": "['20', '21', '1', '4', '11', '9', '12', '15', '2', '18', '19', '3', '6', '13', '14', '7', '16', '8', '5', '17', '10']"


"culture": "['2', '19', '14', '16', '17', '3', '11', '7', '15', '21', '8', '20', '18', '9', '10', '4', '13', '12', '6', '5', '1']"


